,LHipAngleZ,LKneeAngleZ,LAnkleAngleZ,RHipAngleZ,RKneeAngleZ,RAnkleAngleZ
28,1.72174,3.48777,8.60932,4.5587,7.43791,8.50535
29,0.931072,2.83641,8.69867,3.85685,6.77783,8.6459
30,0.152808,2.16902,8.79277,3.12972,6.08541,8.77755
31,-0.6113,1.49954,8.90002,2.37366,5.35963,8.89981
32,-1.35484,0.841155,9.02319,1.59008,4.60471,9.01181
33,-2.0724,0.207208,9.16209,0.783641,3.82794,9.11368
34,-2.75856,-0.388104,9.31398,-0.0382427,3.04032,9.20751
35,-3.4067,-0.928191,9.47749,-0.862055,2.262,9.29892
36,-4.01046,-1.39433,9.65675,-1.67328,1.51547,9.39539
37,-4.56713,-1.77136,9.85856,-2.45986,0.819725,9.50375
38,-5.07784,-2.0495,10.0865,-3.21448,0.189303,9.6313
39,-5.54783,-2.2295,10.3355,-3.93055,-0.362724,9.78396
40,-5.98806,-2.32343,10.594,-4.6051,-0.825586,9.96412
41,-6.41276,-2.34653,10.8495,-5.24355,-1.19524,10.1685
42,-6.83322,-2.31069,11.0882,-5.84999,-1.46595,10.3934
43,-7.25631,-2.2212,11.2984,-6.4219,-1.62525,10.6361
44,-7.68516,-2.07657,11.4716,-6.95394,-1.66072,10.8926
45,-8.11651,-1.86524,11.6085,-7.44168,-1.56691,11.1547
46,-8.54028,-1.57004,11.7155,-7.87905,-1.34235,11.4112
47,-8.94403,-1.17442,11.7964,-8.26011,-0.990181,11.6567
48,-9.31494,-0.663961,11.8504,-8.58975,-0.520831,11.8853
49,-9.64208,-0.02834,11.8707,-8.88345,0.0547955,12.077
50,-9.92059,0.736114,11.8457,-9.15576,0.73319,12.2031
51,-10.1537,1.62858,11.7577,-9.40723,1.52539,12.247
52,-10.3466,2.6519,11.5845,-9.62104,2.45724,12.2062
53,-10.4989,3.8187,11.3064,-9.76491,3.56257,12.0817
54,-10.5951,5.15212,10.9118,-9.79895,4.87292,11.8735
55,-10.5987,6.68465,10.3963,-9.69014,6.41022,11.5734
56,-10.4627,8.44925,9.75225,-9.42692,8.18712,11.1757
57,-10.1439,10.4741,8.96168,-9.01876,10.2123,10.6739
58,-9.61489,12.7799,7.99394,-8.48014,12.4931,10.0521
59,-8.86456,15.3764,6.80644,-7.8137,15.0409,9.28312
60,-7.89371,18.2609,5.36505,-7.00453,17.8693,8.32524
61,-6.7107,21.4182,3.68481,-6.02182,20.9848,7.13985
62,-5.32662,24.8215,1.86229,-4.82748,24.3827,5.72094
63,-3.76029,28.4229,0.0748968,-3.38449,28.0517,4.12422
64,-2.04288,32.1483,-1.4623,-1.67568,31.973,2.48946
65,-0.224185,35.8897,-2.53968,0.270817,36.1028,1.02495
66,1.63429,39.5033,-2.9935,2.37965,40.3493,-0.0412359
67,3.48175,42.8229,-2.7597,4.55124,44.5513,-0.54279
68,5.28198,45.6777,-1.93184,6.69966,48.501,-0.465603
69,7.00756,47.9367,-0.750576,8.77668,52.0183,0.0868936
70,8.64637,49.5623,0.566173,10.7701,54.9975,0.989583
71,10.2029,50.5976,1.92769,12.6879,57.4049,2.12156
72,11.6897,51.1061,3.32035,14.546,59.2573,3.37184
73,13.1185,51.1355,4.73669,16.3566,60.5914,4.65366
74,14.4916,50.7139,6.14127,18.1159,61.4298,5.91009
75,15.8022,49.8587,7.48029,19.8065,61.7737,7.10108
76,17.0425,48.5953,8.70272,21.4083,61.6192,8.1853
77,18.206,46.9665,9.76965,22.8993,60.9672,9.11911
78,19.2825,45.0172,10.654,24.2606,59.8281,9.86628
79,20.2648,42.7984,11.3398,25.4845,58.2302,10.4075
80,21.1578,40.3697,11.8146,26.572,56.2202,10.7449
81,21.966,37.785,12.0677,27.528,53.8542,10.8866
82,22.6878,35.091,12.0928,28.3588,51.1894,10.8373
83,23.3197,32.3298,11.8884,29.0725,48.2842,10.601
84,23.8613,29.5436,11.4646,29.6749,45.1933,10.1903
85,24.3181,26.7804,10.8498,30.1656,41.9658,9.63042
86,24.7002,24.093,10.0907,30.5386,38.6514,8.95078
87,25.0152,21.529,9.24805,30.7902,35.3038,8.18591
88,25.2669,19.1261,8.38688,30.9226,31.9802,7.38041
89,25.4597,16.9254,7.57356,30.9445,28.7446,6.56843
90,25.6045,14.9787,6.86307,30.869,25.6635,5.77123
91,25.719,13.3422,6.2856,30.7112,22.8033,5.01534
92,25.8231,12.063,5.84954,30.4844,20.224,4.33398
93,25.9249,11.1578,5.54736,30.1968,17.9763,3.76107
94,26.0116,10.6052,5.36304,29.8501,16.0966,3.31854
95,26.0559,10.3572,5.27908,29.4429,14.6025,3.00745
96,26.028,10.3577,5.27984,28.9766,13.4994,2.81668
97,25.9035,10.5499,5.35495,28.4561,12.7864,2.73641
98,25.6659,10.8711,5.48465,27.8854,12.4395,2.74136
99,25.2978,11.2304,5.59101,27.2638,12.3846,2.7563
100,24.775,11.4821,5.4524,26.5794,12.4694,2.61045
0,24.4884,1.1192,1.08919,25.871,2.51424,1.01115
1,24.0794,1.85173,0.927536,25.476,3.34652,0.811591
2,23.4299,2.11975,-0.03263,24.9701,3.94569,-0.0815091
3,22.4905,1.84818,-1.60717,24.2788,4.16002,-1.51714
4,21.3336,1.39308,-3.08461,23.4049,4.22916,-2.93558
5,20.1942,1.26574,-3.8875,22.5187,4.58955,-3.83387
6,19.3292,1.67997,-3.93516,21.8811,5.47959,-4.03807
7,18.8133,2.46719,-3.48169,21.6172,6.78725,-3.68523
8,18.4997,3.29215,-2.80916,21.6138,8.19659,-3.01923
9,18.1562,3.87077,-2.09117,21.6266,9.39596,-2.23032
10,17.6171,4.07294,-1.40971,21.4412,10.1957,-1.43101
11,16.8425,3.92225,-0.790431,20.9452,10.5403,-0.68102
12,15.886,3.52629,-0.238005,20.1279,10.4684,-0.00816174
13,14.8282,3.00821,0.251196,19.062,10.0904,0.585867
